[17:02:06] [main/INFO] [LaunchWrapper]: Loading tweak class name net.minecraftforge.fml.common.launcher.FMLServerTweaker
[17:02:06] [main/INFO] [LaunchWrapper]: Using primary tweak class name net.minecraftforge.fml.common.launcher.FMLServerTweaker
[17:02:06] [main/INFO] [LaunchWrapper]: Calling tweak class net.minecraftforge.fml.common.launcher.FMLServerTweaker
[17:02:06] [main/DEBUG] [FML]: Injecting tracing printstreams for STDOUT/STDERR.
[17:02:06] [main/INFO] [FML]: Forge Mod Loader version 14.23.5.2854 for Minecraft 1.12.2 loading
[17:02:06] [main/INFO] [FML]: Java is Java HotSpot(TM) 64-Bit Server VM, version 1.8.0_172, running on Windows 10:amd64:10.0, installed at C:\Program Files\Java\jre1.8.0_172
[17:02:06] [main/DEBUG] [FML]: Java classpath at launch is:
[17:02:06] [main/DEBUG] [FML]:     forge-1.12.2-14.23.5.2854.jar
[17:02:06] [main/DEBUG] [FML]: Java library path at launch is:
[17:02:06] [main/DEBUG] [FML]:     C:\Program Files (x86)\Common Files\Oracle\Java\javapath
[17:02:06] [main/DEBUG] [FML]:     C:\WINDOWS\Sun\Java\bin
[17:02:06] [main/DEBUG] [FML]:     C:\WINDOWS\system32
[17:02:06] [main/DEBUG] [FML]:     C:\WINDOWS
[17:02:06] [main/DEBUG] [FML]:     C:\Program Files (x86)\Common Files\Oracle\Java\javapath
[17:02:06] [main/DEBUG] [FML]:     C:\ProgramData\Oracle\Java\javapath
[17:02:06] [main/DEBUG] [FML]:     C:\Windows\system32
[17:02:06] [main/DEBUG] [FML]:     C:\Windows
[17:02:06] [main/DEBUG] [FML]:     C:\Windows\System32\Wbem
[17:02:06] [main/DEBUG] [FML]:     C:\Windows\System32\WindowsPowerShell\v1.0\
[17:02:06] [main/DEBUG] [FML]:     C:\WINDOWS\system32
[17:02:06] [main/DEBUG] [FML]:     C:\WINDOWS
[17:02:06] [main/DEBUG] [FML]:     C:\WINDOWS\System32\Wbem
[17:02:06] [main/DEBUG] [FML]:     C:\WINDOWS\System32\WindowsPowerShell\v1.0\
[17:02:06] [main/DEBUG] [FML]:     C:\Program Files (x86)\Windows Live\Shared
[17:02:06] [main/DEBUG] [FML]:     C:\WINDOWS\System32\OpenSSH\
[17:02:06] [main/DEBUG] [FML]:     C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common
[17:02:06] [main/DEBUG] [FML]:     C:\Program Files\NVIDIA Corporation\NVIDIA NvDLISR
[17:02:06] [main/DEBUG] [FML]:     %SystemRoot%\system32
[17:02:06] [main/DEBUG] [FML]:     %SystemRoot%
[17:02:06] [main/DEBUG] [FML]:     %SystemRoot%\System32\Wbem
[17:02:06] [main/DEBUG] [FML]:     %SYSTEMROOT%\System32\WindowsPowerShell\v1.0\
[17:02:06] [main/DEBUG] [FML]:     %SYSTEMROOT%\System32\OpenSSH\
[17:02:06] [main/DEBUG] [FML]:     
[17:02:06] [main/DEBUG] [FML]:     C:\Users\Talz\AppData\Local\Microsoft\WindowsApps
[17:02:06] [main/DEBUG] [FML]:     .
[17:02:06] [main/DEBUG] [FML]: Determined Minecraft Libraries Root: C:\Users\Talz\Desktop\Server\RLCraft+Server+Pack+1.12.2+-+Beta+v2.8.2\libraries
[17:02:06] [main/DEBUG] [FML]: Cleaning up mods folder: .\mods
[17:02:06] [main/DEBUG] [FML]: Examining file: # LibLoader.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: AdHooks-1.12.2-3.2.3.0-build.0435.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: Advanced-Fishing-1.12.2-1.3.3.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: AIReducer-1.12.2-0.1.3.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: alcatrazcore-1.0.4.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: antiqueatlas-1.12.2-4.6.3.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: anvilpatch-1.0.0.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: Aquaculture-1.12.2-1.6.8.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: armorunder-mc1.12.2-1.0.0.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: AutoRegLib-1.3-32.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: BacoDifficulty-1.0.3.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: BattleTowers-1.12.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: Baubles-1.12-1.5.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: BaublesHud-1.12.2-5.0.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: BetterCombat-1.12.2-1.5.6.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: BetterFoliage-MC1.12-2.2.0.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: better_survival-1.4.1.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: Bloodmoon-MC1.12.2-1.5.3.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: BNBGamingLib-1.12.2-2.17.6.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: Born+In+A+Barn+V1.8-1.12-1.1.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: Bountiful Baubles-1.12.2-0.1.5.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: campfire-1.12-v1.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: carrotslib-mc1.12.2-1.0.0b1.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: CarryOn MC1.12.2 v1.12.3.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: ChunkAnimator-MC1.12-1.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: comforts-1.12.2-1.4.1.3.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: CompatSkills-1.12.2-1.17.0.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: CoralReef-2.5-1.12.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: corpsecomplex-1.12.2-1.0.10.1.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: craftablechainmail-1.0.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: CraftableHorseArmour-1.3.0-1.12.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: CraftTweaker2-1.12-4.1.20.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: CreativeCore_v1.9.90_mc1.12.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: CustomMainMenu-MC1.12.2-2.0.9.1.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: defiledlands-1.12.2-1.4.3.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: disenchanter-[1.12]1.6.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: DoomlikeDungeons-1.13.2-MC1.12.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: dttraverse-1.5.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: DynamicSurroundings-1.12.2-3.6.1.0.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: DynamicSurroundingsHuds-1.12.2-3.6.0.0.jar
[17:02:06] [main/DEBUG] [FML]: Making maven link for org.orecruncher:DynamicSurroundingsHuds:1.12.2-3.6.0.0 in memory to C:\Users\Talz\Desktop\Server\RLCraft+Server+Pack+1.12.2+-+Beta+v2.8.2\.\mods\DynamicSurroundingsHuds-1.12.2-3.6.0.0.jar.
[17:02:06] [main/DEBUG] [FML]: Examining file: DynamicTrees-1.12.2-0.9.7.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: EnchantmentDescriptions-1.12.2-1.1.20.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: EnhancedVisuals_v1.2.7_mc1.12.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: FamiliarFauna-1.12.2-1.0.11.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: FancyBlockParticles-1.12.x-2.4.1.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: firstaid-1.6.14.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: foamfix-0.10.10-1.12.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: FoodExpansion1.3.3-1.12.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: ForgeEndertech-1.12.2-4.5.2.0-build.0459.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: Forgelin-1.8.4.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: ForgottenItems+MC1.12.2+v1.2.1.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: FriendlyEndermite_v1.0.1_mc1.12.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: GlobalGameRules-1.12.2-2.2.7.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: grapplemod-v11.1-1.12.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: iceandfire-1.7.1-1.12.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: InfernalMobs-1.12.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: InventoryTweaks-1.64+dev.151.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: ISeeDragons-0.12.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: ItemPhysic_Full_1.4.28_mc1.12.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: itlt-1.12.2-1.0.2.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: IvToolkit-1.3.3-1.12.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: jei_1.12.2-4.15.0.291.jar
[17:02:06] [main/DEBUG] [FML]: Examining file: Level Up! 2-1.1.23-1.12.jar
